CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
12.0482,0.0,18.1,0.0,0.614,5.648,87.6,1.9512,24.0,666.0,20.2,291.55,14.1,20.8
0.09604,40.0,6.41,0.0,0.447,6.854,42.8,4.2673,4.0,254.0,17.6,396.9,2.98,32.0
0.1396,0.0,8.56,0.0,0.52,6.1670000000000025,90.0,2.421,5.0,384.0,20.9,392.69,12.33,20.1
0.9761700000000001,0.0,21.89,0.0,0.624,5.7570000000000014,98.4,2.346,4.0,437.0,21.2,262.76,17.31,15.6
2.63548,0.0,9.9,0.0,0.544,4.973,37.8,2.5194,4.0,304.0,18.4,350.45,12.64,16.1
0.09378,12.5,7.87,0.0,0.524,5.888999999999999,39.0,5.4509,5.0,311.0,15.2,390.5,15.71,21.7
3.8497,0.0,18.1,1.0,0.77,6.395,91.0,2.5052,24.0,666.0,20.2,391.34,13.27,21.7
0.06262999999999999,0.0,11.93,0.0,0.573,6.593,69.1,2.4786,1.0,273.0,21.0,391.99,9.67,22.4
0.054970000000000005,0.0,5.19,0.0,0.515,5.985,45.4,4.8122,5.0,224.0,20.2,396.9,9.74,19.0
0.013009999999999999,35.0,1.52,0.0,0.442,7.2410000000000005,49.3,7.0379,1.0,284.0,15.5,394.74,5.49,32.7
0.47547,0.0,9.9,0.0,0.544,6.1129999999999995,58.8,4.0019,4.0,304.0,18.4,396.23,12.73,21.0
0.17142000000000002,0.0,6.91,0.0,0.44799999999999995,5.682,33.8,5.1004,3.0,233.0,17.9,396.9,10.21,19.3
0.12816,12.5,6.07,0.0,0.409,5.885,33.0,6.4979999999999976,4.0,345.0,18.9,396.9,8.79,20.9
0.04981,21.0,5.64,0.0,0.439,5.9979999999999976,21.4,6.8147,4.0,243.0,16.8,396.9,8.43,23.4
0.050230000000000004,35.0,6.06,0.0,0.4379,5.706,28.4,6.6407,1.0,304.0,16.9,394.02,12.43,17.1
0.05602000000000002,0.0,2.46,0.0,0.488,7.831,53.6,3.1992,3.0,193.0,17.8,392.63,4.45,50.0
0.06076,0.0,11.93,0.0,0.573,6.976,91.0,2.1675,1.0,273.0,21.0,396.9,5.64,23.9
0.04666,80.0,1.52,0.0,0.40399999999999997,7.107,36.6,7.309,2.0,329.0,12.6,354.31,8.61,30.3
0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4.0,305.0,19.2,390.91,5.52,22.8
4.03841,0.0,18.1,0.0,0.532,6.229,90.7,3.0993,24.0,666.0,20.2,395.33,12.87,19.6
0.0456,0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5.0,276.0,16.4,392.8,13.51,23.3
1.38799,0.0,8.14,0.0,0.5379999999999999,5.95,82.0,3.99,4.0,307.0,21.0,232.6,27.71,13.2
9.72418,0.0,18.1,0.0,0.74,6.4060000000000015,97.2,2.0651,24.0,666.0,20.2,385.96,19.52,17.1
0.027630000000000002,75.0,2.95,0.0,0.428,6.595,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,30.8
0.9557700000000001,0.0,8.14,0.0,0.5379999999999999,6.0470000000000015,88.8,4.4534,4.0,307.0,21.0,306.38,17.28,14.8
0.5201399999999999,20.0,3.97,0.0,0.647,8.398,91.5,2.2885,5.0,264.0,13.0,386.86,5.91,48.8
0.04294,28.0,15.04,0.0,0.46399999999999997,6.249,77.3,3.615,4.0,270.0,18.2,396.9,10.59,20.6
0.15875999999999998,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0,19.2,376.94,9.88,21.7
0.08221,22.0,5.86,0.0,0.431,6.9570000000000025,6.8,8.9067,7.0,330.0,19.1,386.09,3.53,29.6
0.2896,0.0,9.69,0.0,0.585,5.39,72.9,2.7986,6.0,391.0,19.2,396.9,21.14,19.7
0.01778,95.0,1.47,0.0,0.40299999999999997,7.135,13.9,7.6534,3.0,402.0,17.0,384.3,4.45,32.9
2.36862,0.0,19.58,0.0,0.871,4.926,95.7,1.4608,5.0,403.0,14.7,391.71,29.53,14.6
